Month,Price,Change
06/01/2006,2.09,-
07/01/2006,2.22,6.03%
08/01/2006,2.25,1.35%
09/01/2006,1.81,-19.45%
10/01/2006,1.79,-0.88%
11/01/2006,1.81,0.95%
12/01/2006,1.83,1.21%
01/01/2007,1.63,-11.07%
02/01/2007,1.76,7.91%
03/01/2007,1.89,7.50%
04/01/2007,2.05,8.57%
05/01/2007,2.04,-0.44%
06/01/2007,2.12,3.72%
07/01/2007,2.15,1.23%
08/01/2007,2.11,-1.86%
09/01/2007,2.32,10.16%
10/01/2007,2.42,4.18%
11/01/2007,2.70,11.71%
12/01/2007,2.63,-2.56%
01/01/2008,2.59,-1.56%
02/01/2008,2.77,7.10%
03/01/2008,3.25,17.27%
04/01/2008,3.44,5.84%
05/01/2008,3.82,10.98%
06/01/2008,3.89,1.73%
07/01/2008,3.85,-1.08%
08/01/2008,3.27,-14.88%
09/01/2008,3.04,-7.09%
10/01/2008,2.40,-21.18%
11/01/2008,1.92,-19.77%
12/01/2008,1.44,-25.33%
01/01/2009,1.50,4.18%
02/01/2009,1.31,-12.70%
03/01/2009,1.34,2.45%
04/01/2009,1.45,8.30%
05/01/2009,1.52,4.90%
06/01/2009,1.82,19.74%
07/01/2009,1.72,-5.38%
08/01/2009,1.93,11.90%
09/01/2009,1.80,-6.85%
10/01/2009,1.98,10.42%
11/01/2009,2.00,0.81%
12/01/2009,1.98,-0.90%
01/01/2010,2.07,4.34%
02/01/2010,2.04,-1.50%
03/01/2010,2.16,6.09%
04/01/2010,2.28,5.79%
05/01/2010,2.14,-6.48%
06/01/2010,2.11,-1.31%
07/01/2010,2.07,-1.99%
08/01/2010,2.12,2.71%
09/01/2010,2.18,2.50%
10/01/2010,2.30,5.79%
11/01/2010,2.38,3.30%
12/01/2010,2.50,5.17%
01/01/2011,2.64,5.68%
02/01/2011,2.84,7.49%
03/01/2011,3.13,10.25%
04/01/2011,3.27,4.47%
05/01/2011,3.04,-7.21%
06/01/2011,3.05,0.63%
07/01/2011,3.17,3.80%
08/01/2011,3.01,-5.05%
09/01/2011,2.98,-1.00%
10/01/2011,3.01,0.94%
11/01/2011,3.10,2.89%
12/01/2011,2.94,-5.11%
